,name,link,company,salary_min,salary_max,currency,source
1613,Инженер направления VMware,https://korolev.hh.ru/vacancy/35919929?query=python,ООО Облачные технологии,NaN,NaN,NaN,hh.ru
1614,Ведущий системный администратор,https://korolev.hh.ru/vacancy/37025642?query=python,,NaN,NaN,NaN,hh.ru
1615,Java-разработчик Кинопоиска,https://korolev.hh.ru/vacancy/30764618?query=python, Яндекс,NaN,NaN,NaN,hh.ru
1616,Java-разработчик Кинопоиска,https://korolev.hh.ru/vacancy/30887919?query=python, Яндекс,NaN,NaN,NaN,hh.ru
1617,Ведущий системный инженер/DevOps,https://korolev.hh.ru/vacancy/37031214?query=python, Citeck,NaN,NaN,NaN,hh.ru
1618,Ведущий системный инженер/DevOps,https://korolev.hh.ru/vacancy/37031196?query=python, Citeck,NaN,NaN,NaN,hh.ru
1619,Старший программист,https://korolev.hh.ru/vacancy/36348947?query=python, Снежная Королева,NaN,180000,руб.,hh.ru
1620,Team Lead (Data Engineering),https://korolev.hh.ru/vacancy/36708321?query=python, Wrike,NaN,NaN,NaN,hh.ru
1621,Системный инженер,https://korolev.hh.ru/vacancy/37035763?query=python, Открытые Технологии,NaN,NaN,NaN,hh.ru
1622,Эксперт по безопасной разработке программного обеспечения (application security expert),https://korolev.hh.ru/vacancy/37034431?query=python, Системный оператор Единой энергетической системы,NaN,NaN,NaN,hh.ru
1623,Младший аналитик,https://korolev.hh.ru/vacancy/37031681?query=python, KASSIR.RU,NaN,80000,руб.,hh.ru
1624,QA Automation Engineer (SberDevices),https://korolev.hh.ru/vacancy/36779478?query=python, Сбербанк для экспертов,NaN,NaN,NaN,hh.ru
1625,Data Engineer / ETL Developer,https://korolev.hh.ru/vacancy/37034511?query=python, Леруа Мерлен. Центральный офис,NaN,NaN,NaN,hh.ru
1626,Ведущий python разработчик в команду PaaS Mail.ru Cloud Solution,https://korolev.hh.ru/vacancy/35358300?query=python," Mail.Ru Group, Решения для бизнеса",NaN,NaN,NaN,hh.ru
1627,Head of ML,https://korolev.hh.ru/vacancy/36350194?query=python, ЦИАН ГРУПП,NaN,NaN,NaN,hh.ru
1628,Ведущий специалист прикладных систем,https://korolev.hh.ru/vacancy/37035203?query=python,ПАО Московская Биржа,NaN,NaN,NaN,hh.ru
1629,Ведущий аналитик,https://korolev.hh.ru/vacancy/36888875?query=python,ПАО «МТС» ,NaN,NaN,NaN,hh.ru
1630,Middle Frontend-разработчик,https://korolev.hh.ru/vacancy/35397954?query=python,ООО Сапл-биз,80000,NaN,руб.,hh.ru
1631,Software engineer,https://korolev.hh.ru/vacancy/36263105?query=python, Звук,NaN,200000,руб.,hh.ru
